tags_power,ts,cooling_kw,energy_reuse,ere,hvac_kw,it_power_kw,plug_and_light_kw,pue,pump_kw,day_power,tags_weather,outdoor_air_humidity,outdoor_air_temp,unit,day_weather,hour_of_day,minute_of_day,day_of_week,month,date,is_weekend,total_facility_kw,cooling_to_it_ratio,load_level,pue_category
,2016-07-28 08:45:24+00:00,7.47,,0.936,9.06,887.73,2.46,1.034,11.52,28,,63.9,67.4,,28,8,525,Thursday,7,2016-07-28,False,918.24,0.008414720692102327,Low,Excellent
,2016-07-28 08:46:22+00:00,7.77,,0.936,9.44,885.44,2.46,1.035,11.22,28,,63.9,67.4,,28,8,526,Thursday,7,2016-07-28,False,916.3300000000002,0.008775298156848571,Low,Excellent
,2016-07-28 08:47:22+00:00,7.77,,0.941,9.34,885.08,2.44,1.035,11.22,28,,63.9,67.3,,28,8,527,Thursday,7,2016-07-28,False,915.8500000000001,0.008778867447010438,Low,Excellent
,2016-07-28 08:48:22+00:00,7.67,,0.947,10.06,887.15,2.46,1.036,11.72,28,,63.9,67.1,,28,8,528,Thursday,7,2016-07-28,False,919.0600000000001,0.008645663078397115,Low,Excellent
,2016-07-28 08:49:23+00:00,7.67,,0.95,10.01,885.13,2.44,1.036,11.72,28,,63.9,67.0,,28,8,529,Thursday,7,2016-07-28,False,916.97,0.008665393783963938,Low,Excellent
,2016-07-28 08:50:26+00:00,7.37,,0.95,9.74,884.73,2.44,1.035,11.62,28,,63.9,66.9,,28,8,530,Thursday,7,2016-07-28,False,915.9000000000001,0.008330225040407807,Low,Excellent
,2016-07-28 08:51:23+00:00,7.37,,0.953,9.69,886.88,2.46,1.035,11.62,28,,63.9,66.9,,28,8,531,Thursday,7,2016-07-28,False,918.02,0.008310030669312646,Low,Excellent
,2016-07-28 08:52:22+00:00,7.37,,0.946,9.77,887.52,2.46,1.035,11.62,28,,64.2,66.8,,28,8,532,Thursday,7,2016-07-28,False,918.74,0.00830403821885704,Low,Excellent
,2016-07-28 08:53:21+00:00,7.47,,0.951,8.69,887.3,2.46,1.034,11.82,28,,64.2,66.7,,28,8,533,Thursday,7,2016-07-28,False,917.74,0.008418798602501972,Low,Excellent
,2016-07-28 08:54:22+00:00,7.17,,0.949,9.39,889.45,2.44,1.035,11.92,28,,64.4,66.6,,28,8,534,Thursday,7,2016-07-28,False,920.37,0.008061161391871382,Low,Excellent
,2016-07-28 08:55:25+00:00,7.27,,0.945,9.29,888.95,2.46,1.035,11.92,28,,64.4,66.5,,28,8,535,Thursday,7,2016-07-28,False,919.89,0.008178187749592215,Low,Excellent
,2016-07-28 08:56:22+00:00,7.27,,0.944,8.67,887.79,2.46,1.033,11.32,28,,64.5,66.5,,28,8,536,Thursday,7,2016-07-28,False,917.5100000000001,0.008188873494858018,Low,Excellent
